"Name","Official website","Programming language","Software license","Used by"
"Boost.Regex","Boost C++ Libraries","C++","Boost","/!\ This cell is not defined /!\"
"Boost.Xpressive","Boost C++ Libraries","C++","Boost","/!\ This cell is not defined /!\"
"CL-PPCRE","Edi Weitz","Common Lisp","BSD","/!\ This cell is not defined /!\"
"cppre","Jeff Stuart","C++","GPL","/!\ This cell is not defined /!\"
"DEELX","RegExLab","C++","Free personal and commercial use","/!\ This cell is not defined /!\"
"FREJ","Fuzzy Regular Expressions for Java","Java","LGPL","/!\ This cell is not defined /!\"
"GLib/GRegex","Marco Barisione","C","LGPL","/!\ This cell is not defined /!\"
"GRETA","Microsoft Research","C++","?","/!\ This cell is not defined /!\"
"ICU","International Components for Unicode","C, C++","ICU","/!\ This cell is not defined /!\"
"Jakarta/Regexp","The Apache Jakarta Project","Java","Apache","/!\ This cell is not defined /!\"
"JRegex","JRegex","Java","BSD","/!\ This cell is not defined /!\"
"Oniguruma","Kosako","C","BSD","/!\ This cell is not defined /!\"
"Pattwo","Stevesoft","Java (compatible with Java 1.0)","LGPL","/!\ This cell is not defined /!\"
"PCRE","pcre.org","C, C++","BSD","Nginx, Julia, HHVM"
"Qt/QRegExp","Digia","C++","Qt GNU GPL v. 3.0,Qt GNU LGPL v. 2.1,Qt Commercial","Kate, Kile"
"regex - Henry Spencer's regular expression libraries","ArgList","C","BSD","/!\ This cell is not defined /!\"
"re2","Google Code","C++","BSD","/!\ This cell is not defined /!\"
"Henry Spencer's Advanced Regular Expressions","Tcl","C","BSD","/!\ This cell is not defined /!\"
"TRE","Ville Laurikari","C","BSD","/!\ This cell is not defined /!\"
"TPerlRegEx","TPerlRegEx VCL Component","Object Pascal","MPLv1.1","/!\ This cell is not defined /!\"
"TRegExpr","RegExp Studio","Object Pascal","Dual-license: freeware, or LGPL with static linking exception","/!\ This cell is not defined /!\"
"RGX","RGX","C++ based component library","P6R","/!\ This cell is not defined /!\"
"XRegExp","XRegExp","JavaScript","MIT","/!\ This cell is not defined /!\"
"Language","Official website","Software license","Remarks"
".NET","MSDN","Proprietary",""
"C++11 (C++)","C++ standards website","?","since ISO14822:2011(e)"
"D","D","style=""background: #9FF; color: black; vertical-align: middle; text-align: center; "" class=""free table-free""|boost_mars",""
"Go","Golang.org","BSD-style",""
"Haskell","Haskell.org","BSD3","Omitted in the language report, and in GHC's Hierarchical Libraries"
"Java","Java","GNU General Public License","REs are written as strings in source code: all backslashes must be doubled, harming readability"
"JavaScript (ECMAScript)","ECMA-262","BSD3","Limited but REs are first-class citizens of the language with a specific  syntax"
"Julia","JuliaLang.org","MIT License","REs are part of the language core library; uses PCRE"
"Lua","Lua.org","MIT License","Uses simplified, limited dialect; can be bound to more powerful library, like PCRE or an alternative parser like LPeg"
"Mathematica","Wolfram","Proprietary",""
"Free Pascal (Object Pascal)","www.freepascal.org","LGPL with static linking exception","Free Pascal 2.6+ ships with TRegExpr from Sorokin and 2 other regular expression libraries; see"
"Cocoa (Objective-C)","Apple","Proprietary","As of 2012, available on only iOS 4+ and OS X 10.7+"
"OCaml","Caml","LGPL",""
"Perl","Perl.com","Artistic License, or GNU General Public License","Full, central part of the language"
"PHP","PHP.net","PHP License","Has two implementations, with PCRE being the more efficient in speed, functions"
"Python","python.org","Python Software Foundation License",""
"Ruby","ruby-doc.org","GNU Library General Public License","Ruby 1.8 and 1.9 use different engines; 1.9 integrates Oniguruma"
"SAP ABAP","SAP.com","Proprietary",""
"Tcl","tcl.tk","Tcl/Tk License
(BSD-style)","Tcl library doubles as a regular expression library"
"ActionScript 3","ActionScript Technology Center","Free",""
"OCaml","No","No","No","No","No","No","No","No","No"
"OmniOutliner 3.6.2","?","?","?","?","No","No","?","No","No"
"PCRE","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"Perl","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"PHP","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Python","Yes","Yes","No","Yes","Yes","No","No","No","No"
"Qt/QRegExp","No","No","No","No","No","No","No","No","No"
"re2","Yes","No","?","Yes","No","No","Some","No","No"
"Ruby","Yes","No","Yes","Yes","Yes","Yes","Some","No","No"
"Tcl","Yes","No","Yes","No","Yes","No","Yes","No","No"
"TRE","Yes","No","No","No","Yes","No","?","No","No"
"Vim","Yes","No","Yes","No","No","No","No","No","No"
"RGX","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No"
"XRegExp","Leading only","No","No","Yes","Yes","No","Yes","No","No"
"","Native UTF-16 support","Native UTF-8 support","Multi-line matching","Partial match"
"Boost.Regex","No","No","Yes","Yes"
"GLib/GRegex","Yes","Yes","Yes","?"
"ICU Regex","Yes","No","Yes","?"
"Java","No","Partial","Yes","Yes"
".NET","No","Yes","Yes","?"
"PCRE","Yes","Yes","Yes","?"
"Qt/QRegExp","Yes","No","No","?"
"Tcl","Yes","Yes","Yes","?"
"TRE","No","?","Yes","?"
"RGX","No","No","Yes","?"
"XRegExp","Yes","?","Yes","?"
