"Fugu","No","Yes","No","No","No","No"
"FTP Rush","Yes","No","No","No","No","No"
"gFTP","No","Yes","Yes","Yes","Yes","No"
"GoAnywhere Director","Yes","Yes","Yes","Yes","Yes","No"
"Interarchy","No","Yes","No","No","No","No"
"LeechFTP","Yes","No","No","No","No","No"
"lftp (CL)","Yes (cygwin)","Yes","Yes","Yes","Yes","No"
"Macfusion","No","Yes","No","No","No","No"
"Mosaic","Yes","Yes","No","No","Yes","Yes"
"NcFTP (CL)","Yes","Yes","Yes","Yes","Yes","Yes"
"net2ftp (webbased)","Yes","Yes","Yes","Yes","Yes","Yes"
"pbFtpClient","Yes","No","No","No","No","Yes"
"PSFTP (PuTTY) (CL)","Yes","No","Yes","Yes","Yes","No"
"Robo-FTP","Yes","No","No","No","No","No"
"rwBackup","No","Yes","No","No","No","No"
"SFTPPlus","Yes","No","Yes","No","Yes","No"
"Secure FTP","Yes","Yes","Yes","Yes","Yes","Yes"
"SmartFTP","Yes","No","No","No","No","No"
"Steed","Yes","No","No","No","No","No"
"Swish","Yes","No","No","No","No","No"
"Sysax FTP Automation","Yes","No","No","No","No","No"
"Total Commander","Yes","No","No","No","No","No"
"Transmit","No","Yes","No","No","No","No"
"UploadFTP","Yes","No","No","No","No","No"
"WebDrive","Yes","Yes","No","No","No","No"
"WinSCP","Yes","No","No","No","No","No"
"WISE-FTP","Yes","No","No","No","No","No"
"WS_FTP","Yes","No","No","No","No","No"
"AnyClient","Yes","Yes","Yes","Yes","Yes","No"
"Yummy FTP","No","Yes","No","No","No","No"
"Client","Windows","Mac OS X","Linux","BSD","Unix","AmigaOS"
"Client","FTP","FTP over SSH","SFTP","FTPS (FTP over SSL)","FXP (Site2site transfer)","DAV / HTTP(S)","Compression","Remote Compression","API / Commandline available","Resume Download","Passive mode"
"3D-FTP","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes","?"
"AbsoluteTelnet","No","No","Yes","No","No","No","Yes","Yes","?","?","?"
"ALFTP","Yes","No","No","Yes","No","No","No","?","?","?","?"
"Ali's FTP Interface","Yes","No","No","No","Yes","No","No","No","No","No","Yes"
"AnyClient","Yes","No","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes"
"BitKinex","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","?"
"Captain FTP","Yes","No","Yes","Yes","?","No","No","?","?","?","?"
"Classic FTP","Yes","No","No","Yes","No","No","No","?","?","?","?"
"CoreFTP","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","?","?"
"CrossFTP","Yes","Yes (Pro only)","Yes (Pro only)","Yes (Pro only)","Yes (Pro only)","Yes (Pro only)","Yes","Yes","Yes","Yes","Yes"
"cURL","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes (Only)","Yes","Yes"
"CurlFtpFS","Yes","No","No","Yes","No","No","No","No","?","?","?"
"CuteFTP","Yes","No","Yes","Yes","Yes","Yes (HTTP(S)","Yes","No","?","Yes","Yes"
"Cyberduck","Yes","No","Yes","Yes","No","Yes","No","Yes (SFTP only)","No","Yes","Yes"
"Directory Opus","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes"
"ExpanDrive (Mac)","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","?","?"
"ExpanDrive (Windows)","Yes","No","Yes","Yes","No","No","?","No","?","?","?"
"FAR Manager","Yes","?","Yes (with WinSCP plugin)","Yes (with Far Navigator plugin)","?","No","No","?","?","?","?"
"Fetch","Yes","No","Yes","Yes","Yes","No","Yes","No","No","?","?"
"FileZilla","Yes","Yes","Yes","Yes","No","No","No","No","Yes (basic)","Yes","Yes"
"FireFTP","Yes","No","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes"
"FlashFXP","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes"
"Fling FTP","Yes","No","No","Yes","No","No","No","Yes","Yes","?","?"
"FTP!","Yes","No","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes"
"FTP Client","Yes","No","Yes","Yes","Yes","No","No","No","No","Yes","?"
"FTP Commander","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","?","?","?"
"FTP Explorer","Yes","No","No","No","?","?","No","?","?","?","?"
"FTP Script!","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes"
"FTP Voyager","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"Fugu","No","No","Yes","No","No","No","No","?","?","?","?"
"FTP Rush","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes (windows rushmirc.dll)","Yes","Yes"
"gFTP","Yes","Yes","Yes","Yes (control connection only)","Yes","?","No","?","Yes","?","?"
"GoAnywhere Director","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","?"
"Interarchy","Yes","Yes","Yes","Yes","Yes","Yes","No","?","?","Yes","?"
"LeechFTP","Yes","No","No","No","No","No","No","?","?","?","?"
"lftp","Yes","No","Yes","Yes","Yes","Yes (Partial)","No","No","Yes","Yes","?"
"Macfusion","Yes","?","Yes","No","?","?","?","?","?","?","?"
"Mosaic","Yes","No","No","No","No","No","No","?","?","?","?"
"NcFTP","Yes","No","No","?","?","?","No","?","Yes","?","Yes"
"pbFtpClient","Yes","Yes","Yes","Yes","No","No","Yes","No","?","?","?"
"PSFTP (PuTTY)","No","No","Yes","No","No","No","No","No","Yes","Yes","?"
"Robo-FTP","Yes","Yes","Yes","Yes","No","Yes","Yes","?","Yes","Yes","Yes"
"rwBackup","Yes","No","Yes","No","No","No","Yes","?","No","Yes","?"
"SFTPPlus","Yes","No","Yes","Yes","?","Yes","No","?","Yes","?","?"
"Secure FTP","Yes","No","No","Yes","No","No","Yes","Yes","Yes","?","?"
"SmartFTP","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Steed","Yes","No","Yes","Yes","No","No","?","?","No","?","Yes"
"Swish","No","No","Yes","No","No","No","Yes","?","No","?","?"
"Sysax FTP Automation","Yes","No","Yes","Yes","No","No","Yes","No","Yes (script and command line)","?","?"
"Total Commander","Yes","Yes","Yes (plugin)","Yes","Yes","Yes (plugin)","Yes","?","Yes","Yes","Yes"
"Transmit","Yes","No","Yes","Yes","Yes","Yes","No","?","Yes (AppleScript)","Yes","?"
"UploadFTP","Yes","No","Yes","Yes","Yes (Pro Only)","No","Yes","Yes","No","Yes","?"
"WebDrive","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","?","?"
"Windows 7 (ftp.exe)","Yes","No","No","No","No","No","No","No","No","?","No"
"WinSCP","Yes","Yes","Yes","Yes","No","No","Yes (SFTP only)","Yes (SCP command)","Yes","Yes","Yes"
"WISE-FTP","Yes","No","Yes","Yes","Yes","No","Yes","Yes","?","?","?"
"WS_FTP","Yes","Yes (Pro only)","Yes (Pro only)","Yes","Yes (Pro only)","Yes","Yes (Pro only)","No","Yes (Pro only)","Yes (Pro only)","?"
"Yummy FTP","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","?","?"
"Client","FTP","FTP over SSH","SFTP","FTPS (FTP over SSL)","FXP (Site2site transfer)","DAV / HTTP(S)","Compression","Remote Compression","API / Commandline available","Resume Download","Passive mode"
