"Software","Web-based","Hosted On-Premises","SaaS","License","Programming language"
"2-plan","Yes","Yes","Yes","Proprietary, Open source","Java and PHP"
"24SevenOffice","Yes","No","Yes","Proprietary","Java"
"10,000ft","Yes","No","Yes","Proprietary",""
"AceProject","Yes","No","Yes","Proprietary",""
"Anyplan","No","Yes","Yes","Proprietary",""
"Apache Bloodhound","Yes","Yes","Unknown","Apache License","Python"
"Apollo","Yes","No","Yes","Unknown",""
"Asana","Yes","No","Yes","Proprietary",""
"Assembla","Yes","Yes","Yes","Proprietary",""
"AtTask","Yes","No","Yes","Proprietary",""
"Axosoft","Yes","Yes","Yes","Proprietary",""
"Basecamp","Yes","No","Yes","Proprietary","Ruby"
"Binfire","Yes","No","Yes","Unknown",""
"Bontq","Yes","No","Yes","Unknown",""
"Brightpod","Yes","No","Yes","Proprietary",""
"BrightWork","Yes","Yes","Yes","Proprietary",""
"Ceiton workflow system","Yes","Yes","Yes","Proprietary",""
"Celoxis","Yes","Yes","Yes","Proprietary",""
"Central Desktop","Yes","No","Yes","Proprietary",""
"Clarizen","Yes","No","Yes","Proprietary",""
"ClickHome","Yes","Yes","Yes","Proprietary",""
"Clinked","Yes","Yes","Yes","Proprietary",""
"ClipPod","Yes","No","Yes","Proprietary",""
"Collabtive","Yes","Yes","Yes","Open source (core only)","PHP"
"Compuware Changepoint","Yes","Yes","Yes","Proprietary",""
"ConceptDraw Project","No","Yes","No","Proprietary",""
"Concerto Projects","Yes","Yes","Yes","Proprietary","ASP.NET"
"Contactizer","No","Unknown","Unknown","Proprietary",""
"Calligra Plan","No","Unknown","Unknown","GPL","C++ and Java"
"Copper Project","Yes","Yes","Yes","Proprietary",""
"Deltek Open Plan","No","Unknown","Yes","Proprietary",""
"Deltek WelcomHome","Yes","Unknown","Unknown","Proprietary",""
"DeskAway","Yes","Unknown","Yes","Unknown",""
"Doolphy","Yes","Unknown","Yes","Proprietary",""
"dotProject","Yes","Yes","Unknown","GPL","PHP"
"DropTask","Yes","No","Yes","Proprietary",""
"DynaRoad","No","Unknown","Unknown","Proprietary",""
"Easy projects","Yes","Yes","Yes","Proprietary",""
"Eclipse PPM software","Yes","No","Yes","Unknown",""
"Endeavour Software Project Management","Yes","Unknown","Unknown","GPL","Java"
"eGroupWare","Yes","Unknown","Unknown","GPL","PHP"
"enQuire","Yes","Unknown","Yes","Proprietary","Java"
"eXo Platform","Yes","Yes","Yes","Proprietary, Open source","Java"
"Eylean Board","No","Yes","No","Proprietary","c#.net"
"FastTrack Schedule","No","Yes","No","Proprietary",""
"Feng Office Community Edition","Yes","Unknown","Yes","AGPL","PHP"
"FinancialForce.com","Yes","Unknown","Yes","Unknown",""
"FMYI","Yes","No","Yes","Proprietary",""
"FogBugz","Yes","Yes","Yes","Proprietary","ASP.NET"
"Fossil-scm","Yes","Yes","Yes","2-clause BSD license","SQLite and C"
"FusionForge","Yes","Yes","Unknown","GPL","PHP"
"Ganttic","Yes","Yes","Yes","Proprietary",""
"GanttProject","No","Yes","Unknown","GPL","Java"
"Genius Project","Yes","Yes","Yes","Proprietary",""
"Goodwerp","Yes","No","Yes","Proprietary","PHP"
"Group-Office","Yes","Yes","Yes","Proprietary",""
"Groupiful","Yes","No","Yes","Proprietary","PHP"
"GroveSite","Yes","Unknown","Yes","Unknown",""
"Hall.com","Yes","Unknown","Yes","Unknown",""
"Hansoft","No","Yes","No","Proprietary","Unknown"
"HP Project & Portfolio Software","Yes","Yes","Yes","Proprietary",""
"Huddle","Yes","Unknown","Unknown","Proprietary",""
"Hyperoffice","Yes","Unknown","Unknown","Proprietary",""
"iManageProject","Yes","Unknown","Yes","Unknown",""
"InLoox","Yes","Yes","Yes","Proprietary",""
"in-Step BLUE","Yes","Yes","No","Proprietary",""
"Intellinote","Yes","No","Yes","Proprietary",""
"JIRA","Yes","Yes","Yes","Proprietary","Java"
"Journyx","Yes","Yes","Yes","Proprietary",""
"Kayako helpdesk software","Yes","Unknown","Unknown","Proprietary",""
"Launchpad","Yes","No","Yes","AGPL","Python"
"LibrePlan","Yes","Yes","Yes","AGPL","Java"
"LiquidPlanner","Yes","No","Yes","Proprietary","Ruby"
"LisaProject","No","Unknown","Unknown","Proprietary",""
"MacProject","No","Unknown","Unknown","Proprietary",""
"MantisBT","Yes","Unknown","Unknown","GPL","PHP"
"MatchWare MindView 5 Business Edition","Yes","Yes","Yes","Proprietary",""
"Mavenlink","Yes","No","Yes","Proprietary",""
"Merlin","Yes","Unknown","Unknown","Proprietary",""
"Métier","Yes","Yes","Yes","Proprietary",""
"Microsoft Dynamics AX","No","Yes","No","Proprietary","X++"
"Microsoft Office Project Server","Yes","Yes","Yes","Proprietary",""
"Microsoft Project","Yes","Yes","Yes","Proprietary",""
"Microsoft SharePoint Server","Yes","Yes","Yes","Proprietary",""
"Microsoft Team Foundation Server","Yes","Yes","Yes","Proprietary",""
"Milestones Professional","No","Yes","No","Proprietary",""
"MindGenius","No","Unknown","Unknown","Proprietary",""
"NetPoint","No","Unknown","Unknown","Proprietary",""
"NetSuite","Yes","Unknown","Yes","Unknown",""
"MyWorkPLAN","No","Unknown","Unknown","Proprietary",""
"O3Spaces","No","Unknown","Unknown","Proprietary",""
"OmniPlan","No","Yes","No","Proprietary",""
"Onepoint Project","Yes","Yes","Yes","Proprietary, GPL",""
"Open Workbench","No","Unknown","Unknown","Open source (disputed)",""
"Odoo","Yes","Yes","Yes","Open source","Python"
"OpenProj","No","Unknown","Yes","CPAL","Java"
"OnePager Pro","No","Yes","No","Proprietary","ASP.NET"
"OpenProject","Yes","Yes","No","GPL","Ruby on Rails and AngularJS"
"Oracle Primavera EPPM (Primavera P6)","Yes","Yes","Unknown","Proprietary",""
"phpGroupWare","Yes","Unknown","Unknown","GPL","PHP"
"PHProjekt","Yes","Unknown","Unknown","LGPL","PHP"
"Pivotal Tracker","Yes","No","Yes","Unknown",""
"Planbox","Yes","Unknown","Yes","Proprietary",""
"Plandora","Yes","Unknown","Unknown","LGPL","Java"
"Planisware","Yes","Yes","Yes","Proprietary",""
"Planner Suite","No","Unknown","Unknown","Proprietary",""
"PLANTA Project","Yes","Yes","No","Proprietary",""
"Priority Matrix","No","Yes","Yes","Unknown",""
"Project Builder","Yes","Yes","Yes","Proprietary",""
"Project Team Builder","Yes","Yes","Yes","Proprietary",""
"ProjectLibre","No","Unknown","Yes","CPAL","Java"
"Project KickStart","No","Yes","Unknown","Proprietary",""
"ProjectManager.com","Yes","No","Yes","Proprietary",""
"Project.net","Yes","Yes","Yes","GPL","Java"
"Project-Open","Yes","Yes","Yes","Proprietary, GPL",""
"Projector PSA","Yes","Yes","Yes","Proprietary",""
"Projectplace","Yes","No","Yes","Proprietary",""
"Projecturf","Yes","Unknown","Unknown","Proprietary",""
"Projektron BCS","Yes","Unknown","Unknown","Proprietary",""
"ProjeQtOr","Yes","Yes","Yes","GPL","PHP"
"Proliance","Yes","Unknown","Unknown","Proprietary",""
"ProjectLink","Yes","Yes","Yes","Proprietary",""
"Prolog","Yes","Yes","Yes","Proprietary",""
"QuickBase","Yes","No","Yes","Proprietary",""
"RationalPlan","Yes","Yes","Yes","Proprietary",""
"Realisor","No","Yes","No","Proprietary",""
"Redmine","Yes","Yes","Yes","GPL","Ruby"
"SAP Business ByDesign","Yes","Unknown","Yes","Proprietary",""
"Sciforma","Yes","Yes","Yes","Proprietary",""
"Severa","Yes","Unknown","Yes","Unknown",""
"Smartsheet","Yes","Unknown","Yes","Proprietary","/!\ This cell is not defined /!\"
"Spider Project","No","No","No","Proprietary","/!\ This cell is not defined /!\"
"SwiftKanban","Yes","Yes","Yes","Proprietary","Java"
"TACTIC","Yes","Yes","Yes","Eclipse Public License","Python"
"Talygen","Yes","No","Yes","Proprietary","ASP.NET"
"TargetProcess","Yes","Yes","Yes","Proprietary","ASP.NET"
"TaskJuggler","No","Yes","No","GPL","Ruby"
"Teamcenter","Yes","Yes","Yes","Proprietary",""
"Redbooth","Yes","Yes","Yes","AGPL; Proprietary (version 4)","Ruby on Rails"
"TeamDynamixHE","Yes","Yes","Yes","Proprietary",""
"TeamLab","Yes","Unknown","Yes","GPL","ASP.NET"
"Twproject","Yes","Yes","Yes","Proprietary",""
"TestTrack","Yes","Yes","Yes","Proprietary","C++"
"The Bug Genie","Yes","Yes","Yes","Mozilla Public License","PHP"
"Tom's Planner","Yes","Unknown","Unknown","Proprietary",""
"Trac","Yes","Yes","Yes","(modified) BSD license","Python"
"TrackerSuite.Net","Yes","Yes","Yes","Proprietary",""
"Traction TeamPage","Yes","Yes","Yes","Proprietary","Java"
"Trello","Yes","No","Yes","Unknown",""
"Ubidesk","Yes","Unknown","Unknown","Proprietary",""
"VPMi","Yes","Unknown","Unknown","Proprietary",""
"web2project","Yes","Unknown","Unknown","GPL","PHP"
"Workgroups DaVinci","Yes","Yes","Unknown","Proprietary",""
"WorkPLAN Enterprise","No","Unknown","Unknown","Proprietary",""
"workspace.com","Yes","Unknown","Yes","Proprietary",""
"Wrike","Yes","Unknown","Yes","Proprietary",""
"Zoho Projects","Yes","No","Yes","Proprietary",""
"Software","Collaborative software","Issue tracking system","Scheduling","Project Portfolio Management","Resource Management","Document Management","Workflow system","Report and Analyses"
"10,000ft","Yes","No","Yes","Yes","Yes","No","Yes","Yes"
"2-plan","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
